Cat�gorie;Article;D�signation 1;Unit� stock;Unit� vente;Coef UV-US;Saisie coeff vente;Unit� achat;Coef UA-US;Conditionnement;Coef UC-US;Saisie coeff autoris;Code comptable;Niveau taxe;Famille statistique;Famille statistique;Famille statistique;Gestion stock;Fournisseur;Article fournisseur;D�signation fourn
PDR;PDR00001;TUBE ROND 42X3;UN;UN;1;1;UN;1;;0;0;PDR;AV001;PDR01;P0104;;2;FRL00121;PDR00001;TUBE ROND 42X3
PDR;PDR00002;MANO DE VITESSE;UN;UN;1;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.25909-0043;TRANSMETTEUR A INDUCTION
PDR;PDR00003;ECROU GOUJON STD 32X32;UN;UN;1;1;PAC;6;PAC;6;1;PDR;AV001;;;;2;FRL00065;420027;ECROU GOUJON STD 32X32
PDR;PDR00003;ECROU GOUJON STD 32X32;UN;UN;1;1;PAC;6;PAC;6;1;PDR;AV001;;;;2;FRL00088;XXXZYJJ87;ECROUZ 1987
PDR;PDR00004;MANETTE BENNE 8X4 ;UN;UN;1;1;UN;1;;0;0;PDR;AV001;PDR04;P0404;;2;FRL00065;906012;MANETTE BENNE 8X4 NV
PDR;PDR00006;REVETEMENT DE MONTANT A GAUCHE;UN;UN;1;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.62410-0221;REVETEMENT DE MONTANT A GAUCHE
PDR;PDR00007;RETROVISEUR AV VOLANT A GAUCHE;UN;UN;1;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.63730-6976;RETROVISEUR AV VOLANT A GAUCHE
PDR;PDR00008;RETROVISEUR DE TROTTOIR;UN;UN;1;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.63730-6843;RETROVISEUR DE TROTTOIR
PDR;PDR00009;CAPUCHON DE RETROVISEUR DE TROTTOIR;UN;UN;1;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.63732-0106;CAPUCHON DE RETROVISEUR DE TROTTOIR
PDR;PDR00010;RETROVISEUR EXTERIEUR GAUCHE;UN;UN;1;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.63730-6533;RETROVISEUR EXTERIEUR GAUCHE
PDR;PDR00011;HABILLAGE DU RETROVISEUR;UN;UN;1;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00131;81.637301-0397;HABILLAGE DU RETROVISEUR
